"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"Condo",1976,NA,3,3,"2,172","$401,348","https://www.zillow.com/homedetails/2176-S-Ridgewood-Way-Bountiful-UT-84010/2075428947_zpid/"
"SingleFamily",1975,"0.27 Acres",4,3,"2,567","$717,090","https://www.zillow.com/homedetails/1398-Chokecherry-Dr-Bountiful-UT-84010/12673190_zpid/"
"SingleFamily",1954,"0.27 Acres",3,1,"1,258","$375,564","https://www.zillow.com/homedetails/198-E-2450-S-Bountiful-UT-84010/12671909_zpid/"
"MultiFamily",1960,NA,5,2,"2,392",NA,"https://www.zillow.com/homedetails/3896-S-850-W-Bountiful-UT-84010/2072267834_zpid/"
"SingleFamily",2004,"0.14 Acres",2,3,"3,064","$516,342","https://www.zillow.com/homedetails/1511-E-Lakeview-Dr-Bountiful-UT-84010/12670729_zpid/"
"SingleFamily",1963,"0.22 Acres",4,2,"2,110","$362,678","https://www.zillow.com/homedetails/288-E-1650-S-Bountiful-UT-84010/12666978_zpid/"
"SingleFamily",1976,"0.21 Acres",5,3,"2,968","$403,892","https://www.zillow.com/homedetails/2241-S-500-W-Bountiful-UT-84010/2078457011_zpid/"
"Townhouse",1983,"0.01 Acres",2,2,"1,364","$268,912","https://www.zillow.com/homedetails/3113-S-Applewood-Dr-W-Bountiful-UT-84010/2076607962_zpid/"
"SingleFamily",1950,"0.40 Acres",3,2,"1,848","$424,242","https://www.zillow.com/homedetails/1107-E-300-S-Bountiful-UT-84010/12667940_zpid/"
"MultiFamily",1971,NA,8,4,"3,580","$588,890","https://www.zillow.com/homedetails/118-W-1300-S-Bountiful-UT-84010/12666720_zpid/"
"Condo",1973,NA,2,1,"925","$208,867","https://www.zillow.com/homedetails/314-W-Center-St-Bountiful-UT-84010/2104240569_zpid/"
"SingleFamily",1956,"0.39 Acres",4,3,"2,414","$467,182","https://www.zillow.com/homedetails/109-W-2200-S-Bountiful-UT-84010/12671231_zpid/"
"SingleFamily",1968,"0.21 Acres",6,3,"2,786","$444,358","https://www.zillow.com/homedetails/2105-Timothy-Way-Bountiful-UT-84010/12672590_zpid/"
"SingleFamily",1951,"0.26 Acres",3,1,"1,900","$372,159","https://www.zillow.com/homedetails/190-W-1800-S-Bountiful-UT-84010/12666915_zpid/"
"SingleFamily",1960,"7,841 sqft",4,3,"2,340","$440,785","https://www.zillow.com/homedetails/83-E-1600-S-Bountiful-UT-84010/12666846_zpid/"
"SingleFamily",1998,"1.13 Acres",5,5,"3,534","$830,036","https://www.zillow.com/homedetails/1832-E-Mueller-Park-Rd-Bountiful-UT-84010/2078632121_zpid/"
"SingleFamily",1969,"0.26 Acres",4,3,"2,349","$495,235","https://www.zillow.com/homedetails/1496-S-1500-E-Bountiful-UT-84010/12669329_zpid/"
"Townhouse",2013,"0.01 Acres",3,3,"2,944","$406,250","https://www.zillow.com/homedetails/2116-S-Orchard-Pine-Loop-E-Bountiful-UT-84010/2076677437_zpid/"
