"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"Townhouse",1959,"436 sqft",3,2,"1,216","$265,265","https://www.zillow.com/homedetails/451-N-400-E-Bountiful-UT-84010/12665952_zpid/"
"SingleFamily",1958,"10,018 sqft",5,2,"141","$349,902","https://www.zillow.com/homedetails/435-Jeri-Dr-Bountiful-UT-84010/12672009_zpid/"
"SingleFamily",1955,"9,583 sqft",4,2,"2,232","$452,862","https://www.zillow.com/homedetails/994-N-650-E-Bountiful-UT-84010/12667985_zpid/"
"SingleFamily",1979,"0.24 Acres",4,3,"3,821","$632,635","https://www.zillow.com/homedetails/2825-Oakwood-Dr-Bountiful-UT-84010/12673074_zpid/"
"SingleFamily",1956,"0.25 Acres",3,2,"1,858","$412,380","https://www.zillow.com/homedetails/2357-S-200-E-Bountiful-UT-84010/12671486_zpid/"
NA,NA,NA,4,2,"2,300","$414,102","https://www.zillow.com/homedetails/745-N-950-E-Bountiful-UT-84010/12668270_zpid/"
"Townhouse",1959,"0.01 Acres",2,2,"1,536","$240,450","https://www.zillow.com/homedetails/493-N-400-E-9D-Bountiful-UT-84010/2078998263_zpid/"
"SingleFamily",2006,"0.78 Acres",5,6,"7,461","$1,502,773","https://www.zillow.com/homedetails/4751-S-Spring-Meadow-Cir-Bountiful-UT-84010/2079251004_zpid/"
"SingleFamily",2002,"1.33 Acres",6,7,"9,520","$2,462,088","https://www.zillow.com/homedetails/4604-Summerview-Rd-Bountiful-UT-84010/68429487_zpid/"
"SingleFamily",1970,"9,147 sqft",4,3,"2,592","$479,714","https://www.zillow.com/homedetails/3204-S-100-E-Bountiful-UT-84010/12657705_zpid/"
"Condo",1971,NA,2,1,"885","$204,544","https://www.zillow.com/homedetails/175-E-1100-N-APT-21-Bountiful-UT-84010/2078806628_zpid/"
"SingleFamily",1954,"0.34 Acres",4,3,"2,392","$457,014","https://www.zillow.com/homedetails/109-W-1800-S-Bountiful-UT-84010/145023114_zpid/"
"SingleFamily",1992,"0.29 Acres",6,4,"3,183","$513,182","https://www.zillow.com/homedetails/1134-E-250-S-Bountiful-UT-84010/12670400_zpid/"
"SingleFamily",1956,"0.30 Acres",5,3,"2,646","$525,006","https://www.zillow.com/homedetails/3478-S-475-W-Bountiful-UT-84010/12658566_zpid/"
"SingleFamily",1979,"8,276 sqft",5,3,"3,975","$600,102","https://www.zillow.com/homedetails/2839-S-650-E-Bountiful-UT-84010/12673100_zpid/"
"SingleFamily",2019,"871 sqft",3,2,"1,498","$325,992","https://www.zillow.com/homedetails/1940-S-200-W-18-Bountiful-UT-84010/2079207715_zpid/"
"SingleFamily",1900,"0.26 Acres",4,3,"2,978","$457,984","https://www.zillow.com/homedetails/780-E-Center-St-Bountiful-UT-84010/12667833_zpid/"
"SingleFamily",1980,"0.27 Acres",5,4,"2,984","$569,021","https://www.zillow.com/homedetails/2981-S-Oakwood-Dr-Bountiful-UT-84010/2078456397_zpid/"
"SingleFamily",1954,"0.15 Acres",6,2,"2,366","$363,190","https://www.zillow.com/homedetails/351-W-740-S-Bountiful-UT-84010/12666266_zpid/"
"SingleFamily",1955,"0.26 Acres",5,2,"2,541","$370,485","https://www.zillow.com/homedetails/233-E-2450-S-Bountiful-UT-84010/12671899_zpid/"
NA,NA,NA,1,2,"1,273","$246,060","https://www.zillow.com/homedetails/650-S-Main-St-APT-6308-Bountiful-UT-84010/12667300_zpid/"
"Condo",1972,NA,2,2,"1,264","$251,759","https://www.zillow.com/homedetails/330-N-100-E-APT-3-Bountiful-UT-84010/61787148_zpid/"
"Townhouse",2003,"0.01 Acres",5,4,"3,758",NA,"https://www.zillow.com/homedetails/1657-Pages-Pl-Bountiful-UT-84010/2072640304_zpid/"
"SingleFamily",1965,"0.25 Acres",5,3,"2,978",NA,"https://www.zillow.com/homedetails/1890-S-Arlington-Way-E-Bountiful-UT-84010/2072637100_zpid/"
"Townhouse",1984,"0.01 Acres",5,2,"2,336","$345,695","https://www.zillow.com/homedetails/3224-S-Plum-Tree-Ln-Bountiful-UT-84010/2079039464_zpid/"
"SingleFamily",1986,"0.25 Acres",4,4,"3,711","$489,738","https://www.zillow.com/homedetails/3438-S-Medford-Dr-Bountiful-UT-84010/2078928952_zpid/"
"SingleFamily",1998,"0.96 Acres",7,7,"7,753","$1,216,010","https://www.zillow.com/homedetails/2649-S-Oakwood-Dr-Bountiful-UT-84010/68430445_zpid/"
"SingleFamily",1952,"0.21 Acres",5,2,"2,300","$390,629","https://www.zillow.com/homedetails/141-W-Wicker-Ln-S-Bountiful-UT-84010/2073103183_zpid/"
"SingleFamily",1947,"0.25 Acres",4,2,"1,560","$387,878","https://www.zillow.com/homedetails/232-S-350-W-Bountiful-UT-84010/59804695_zpid/"
"Apartment",1999,NA,3,2,"1,366","$266,637","https://www.zillow.com/homedetails/320-N-500-W-APT-302-Bountiful-UT-84010/68441470_zpid/"
"SingleFamily",2002,"0.75 Acres",4,5,"7,307","$1,589,077","https://www.zillow.com/homedetails/458-Hidden-Lake-Dr-Bountiful-UT-84010/68440364_zpid/"
"SingleFamily",1954,"8,712 sqft",3,2,"1,747","$365,507","https://www.zillow.com/homedetails/345-W-1200-N-Bountiful-UT-84010/12664190_zpid/"
"Townhouse",2018,"871 sqft",4,4,"2,105","$437,505","https://www.zillow.com/homedetails/254-E-340-N-North-Salt-Lake-UT-84054/249102361_zpid/"
"Condo",1977,NA,2,1,"858","$192,567","https://www.zillow.com/homedetails/3051-S-Orchard-Dr-2-Bountiful-UT-84010/2078915320_zpid/"
NA,NA,NA,5,3,"2,260","$447,985","https://www.zillow.com/homedetails/1495-S-400-E-Bountiful-UT-84010/12670113_zpid/"
"SingleFamily",1953,"6,534 sqft",3,2,"1,536","$343,733","https://www.zillow.com/homedetails/257-W-400-N-Bountiful-UT-84010/12664539_zpid/"
"Condo",2002,NA,2,2,"1,188","$254,084","https://www.zillow.com/homedetails/340-N-500-W-APT-201-Bountiful-UT-84010/2078978740_zpid/"
"SingleFamily",1989,"0.34 Acres",3,4,"314","$675,017","https://www.zillow.com/homedetails/1645-E-Vineyard-Dr-Bountiful-UT-84010/12670517_zpid/"
"SingleFamily",1958,"0.15 Acres",3,2,"2,072","$377,543","https://www.zillow.com/homedetails/230-E-400-N-Bountiful-UT-84010/12664761_zpid/"
"SingleFamily",1970,"10,018 sqft",4,3,"1,650","$422,791","https://www.zillow.com/homedetails/706-E-700-S-Bountiful-UT-84010/12669650_zpid/"
"Townhouse",1996,"871 sqft",4,2,"1,433","$293,252","https://www.zillow.com/homedetails/1847-S-Main-St-Bountiful-UT-84010/119633430_zpid/"
"SingleFamily",1993,"0.33 Acres",3,3,"3,592","$682,375","https://www.zillow.com/homedetails/3547-S-400-E-Bountiful-UT-84010/12657915_zpid/"
"Townhouse",2020,"0.02 Acres",3,3,"1,581","$343,401","https://www.zillow.com/homedetails/620-N-Orchard-Dr-12-North-Salt-Lake-UT-84054/2079736506_zpid/"
"Townhouse",1998,"0.02 Acres",3,3,"2,151","$321,577","https://www.zillow.com/homedetails/386-W-400-N-APT-6-Bountiful-UT-84010/92693407_zpid/"
NA,NA,NA,4,5,"5,260","$914,932","https://www.zillow.com/homedetails/2461-Wood-Hollow-Way-Bountiful-UT-84010/12673299_zpid/"
NA,NA,NA,5,4,"3,706","$829,161","https://www.zillow.com/homedetails/2863-S-Cove-Ln-Bountiful-UT-84010/2079148291_zpid/"
"SingleFamily",1995,"1.03 Acres",5,4,"3,686","$757,348","https://www.zillow.com/homedetails/2863-Cove-Ln-Bountiful-UT-84010/35978404_zpid/"
"SingleFamily",1980,"0.25 Acres",4,4,"3,656","$561,468","https://www.zillow.com/homedetails/2891-S-650-E-Bountiful-UT-84010/12673097_zpid/"
"SingleFamily",1955,"0.17 Acres",4,2,"2,110","$398,132","https://www.zillow.com/homedetails/1240-Crestwood-Cir-Bountiful-UT-84010/2079328079_zpid/"
"SingleFamily",1955,"7,405 sqft",4,2,"138","$398,132","https://www.zillow.com/homedetails/1240-N-700-E-Bountiful-UT-84010/12662377_zpid/"
"Townhouse",2006,"0.01 Acres",4,4,"3,774","$364,213","https://www.zillow.com/homedetails/1681-N-Pages-Place-Dr-Bountiful-UT-84010/2079383173_zpid/"
"Condo",1964,NA,3,3,"2,618","$289,517","https://www.zillow.com/homedetails/387-W-400-N-APT-22-Bountiful-UT-84010/12666007_zpid/"
"SingleFamily",1962,"0.21 Acres",4,2,"2,164","$439,629","https://www.zillow.com/homedetails/893-N-800-E-Bountiful-UT-84010/12668154_zpid/"
"SingleFamily",1950,"0.23 Acres",4,2,"1,952","$390,698","https://www.zillow.com/homedetails/175-E-1100-S-Bountiful-UT-84010/12666612_zpid/"
"SingleFamily",1985,"0.20 Acres",5,3,"2,444","$446,197","https://www.zillow.com/homedetails/71-W-1700-S-Bountiful-UT-84010/12665531_zpid/"
"SingleFamily",1956,"0.25 Acres",3,2,"2,074","$425,557","https://www.zillow.com/homedetails/2268-S-200-E-Bountiful-UT-84010/12671473_zpid/"
NA,NA,NA,2,2,"1,584","$268,761","https://www.zillow.com/homedetails/517-N-400-E-14D-Bountiful-UT-84010/2079041542_zpid/"
"SingleFamily",1994,"0.46 Acres",7,3,"5,010","$747,852","https://www.zillow.com/homedetails/273-S-1550-E-Bountiful-UT-84010/12669191_zpid/"
"SingleFamily",1996,"0.47 Acres",6,4,"4,054","$598,809","https://www.zillow.com/homedetails/1224-E-Lakeview-Dr-Bountiful-UT-84010/2079067362_zpid/"
"Townhouse",2003,"0.01 Acres",3,3,"1,830",NA,"https://www.zillow.com/homedetails/674-S-Orchard-Dr-E-Bountiful-UT-84010/2072429154_zpid/"
"SingleFamily",1963,"7,840 sqft",5,2,"2,100","$372,804","https://www.zillow.com/homedetails/1245-S-300-W-Bountiful-UT-84010/12666425_zpid/"
"SingleFamily",2003,"436 sqft",3,2,"237","$342,888","https://www.zillow.com/homedetails/674-Orchard-Dr-Bountiful-UT-84010/68448631_zpid/"
"Townhouse",1975,"0.01 Acres",3,3,"2,782","$341,749","https://www.zillow.com/homedetails/1950-S-200-W-APT-6-Bountiful-UT-84010/2090744819_zpid/"
"SingleFamily",1972,"0.33 Acres",5,3,"3,579","$564,964","https://www.zillow.com/homedetails/1372-N-900-E-Bountiful-UT-84010/65392142_zpid/"
"SingleFamily",1958,"0.39 Acres",3,2,"4,726","$426,421","https://www.zillow.com/homedetails/465-N-1150-E-Bountiful-UT-84010/12668413_zpid/"
"SingleFamily",1954,"6,969 sqft",5,2,"2,092","$386,622","https://www.zillow.com/homedetails/140-E-470-N-Bountiful-UT-84010/12665902_zpid/"
"SingleFamily",1980,"0.25 Acres",4,NA,"2","$532,120","https://www.zillow.com/homedetails/3107-Crestview-Cir-Bountiful-UT-84010/2131017597_zpid/"
NA,NA,NA,2,3,"1,581","$371,291","https://www.zillow.com/homedetails/620-North-Orchard-6-North-Salt-Lake-UT-84054/2077596388_zpid/"
"Townhouse",NA,"No Data",3,2,"1,581","$388,427","https://www.zillow.com/homedetails/620-Orchard-46-North-Salt-Lake-UT-84054/2079587766_zpid/"
"SingleFamily",2016,"0.28 Acres",6,4,"4,498","$868,250","https://www.zillow.com/homedetails/3124-S-50-E-Bountiful-UT-84010/145682054_zpid/"
"SingleFamily",1963,"6,534 sqft",4,1,"2,400","$451,796","https://www.zillow.com/homedetails/1117-S-400-W-Bountiful-UT-84010/12666371_zpid/"
"SingleFamily",1969,"0.20 Acres",4,3,"2,814","$482,715","https://www.zillow.com/homedetails/2129-S-1125-E-Bountiful-UT-84010/12672631_zpid/"
"SingleFamily",1958,"8,712 sqft",5,2,"2,340","$467,703","https://www.zillow.com/homedetails/1620-S-35-E-Bountiful-UT-84010/12666829_zpid/"
"SingleFamily",1958,"0.21 Acres",4,2,"1,905","$374,539","https://www.zillow.com/homedetails/1343-N-200-W-Bountiful-UT-84010/2072949776_zpid/"
NA,NA,NA,3,2,"1,796","$376,853","https://www.zillow.com/homedetails/469-S-200-E-Bountiful-UT-84010/12665162_zpid/"
"SingleFamily",1955,"0.20 Acres",5,3,"2,184","$416,858","https://www.zillow.com/homedetails/460-E-1130-N-Bountiful-UT-84010/12662433_zpid/"
"MultiFamily",1963,NA,4,2,"1,800","$420,935","https://www.zillow.com/homedetails/231-E-2200-S-Bountiful-UT-84010/12670897_zpid/"
"SingleFamily",1965,"9,147 sqft",5,3,"2,240","$403,049","https://www.zillow.com/homedetails/2941-S-500-W-Bountiful-UT-84010/12671639_zpid/"
"SingleFamily",1999,"0.40 Acres",5,4,"5,264","$955,888","https://www.zillow.com/homedetails/4302-Monarch-Dr-Bountiful-UT-84010/68429331_zpid/"
"Condo",1984,NA,2,2,"924","$228,909","https://www.zillow.com/homedetails/650-S-Main-St-APT-7204-Bountiful-UT-84010/12667248_zpid/"
"SingleFamily",1958,"0.24 Acres",4,3,"2,526","$468,795","https://www.zillow.com/homedetails/193-W-2800-S-Bountiful-UT-84010/12671559_zpid/"
"Condo",1977,NA,2,2,"176","$341,757","https://www.zillow.com/homedetails/1321-Ridgewood-Ln-Bountiful-UT-84010/12673567_zpid/"
"SingleFamily",1949,"0.26 Acres",4,2,"2,184",NA,"https://www.zillow.com/homedetails/3163-S-Crestview-Cir-W-Bountiful-UT-84010/2072633905_zpid/"
"Townhouse",NA,"No Data",3,2,"1,581","$400,655","https://www.zillow.com/homedetails/620-Orchard-1-North-Salt-Lake-UT-84054/2078613835_zpid/"
"SingleFamily",1965,"10,018 sqft",5,3,"3,549","$494,247","https://www.zillow.com/homedetails/3233-S-75-E-Bountiful-UT-84010/12658398_zpid/"
"SingleFamily",1948,"0.25 Acres",4,2,"1,726","$401,963","https://www.zillow.com/homedetails/2917-S-300-W-Bountiful-UT-84010/12671661_zpid/"
"VacantLand",1993,NA,NA,NA,NA,NA,"https://www.zillow.com/homedetails/1233-E-Sunrise-Pl-Bountiful-UT-84010/12659759_zpid/"
"SingleFamily",1953,"9,583 sqft",3,1,"1,598","$343,552","https://www.zillow.com/homedetails/818-N-200-W-Bountiful-UT-84010/12664442_zpid/"
"Townhouse",1973,"435 sqft",3,2,"1,050","$258,163","https://www.zillow.com/homedetails/567-N-200-W-Bountiful-UT-84010/12665599_zpid/"
"SingleFamily",1973,"0.24 Acres",3,3,"3,074","$453,413","https://www.zillow.com/homedetails/512-W-Heritage-Dr-Bountiful-UT-84010/2079693420_zpid/"
"Condo",1998,NA,3,3,"3,134","$496,082","https://www.zillow.com/homedetails/179-Country-Springs-Dr-Bountiful-UT-84010/68430187_zpid/"
"Townhouse",2004,"435 sqft",3,2,"1,910","$298,001","https://www.zillow.com/homedetails/204-W-Lyman-Ln-Bountiful-UT-84010/2080110584_zpid/"
"SingleFamily",1964,"0.30 Acres",5,4,"4,510","$630,851","https://www.zillow.com/homedetails/949-E-800-S-Bountiful-UT-84010/12669827_zpid/"
"SingleFamily",1952,"0.25 Acres",4,2,"2,216","$420,260","https://www.zillow.com/homedetails/698-W-3500-S-Bountiful-UT-84010/12658614_zpid/"
"SingleFamily",1948,"9,147 sqft",3,2,"2,206","$386,166","https://www.zillow.com/homedetails/20-S-200-E-Bountiful-UT-84010/12664919_zpid/"
"SingleFamily",1978,"0.26 Acres",5,3,"3,340","$507,596","https://www.zillow.com/homedetails/354-W-2900-S-Bountiful-UT-84010/12671759_zpid/"
"SingleFamily",1954,"9,583 sqft",4,2,"2,222","$447,261","https://www.zillow.com/homedetails/31-E-Wicker-Ln-Bountiful-UT-84010/12671139_zpid/"
"SingleFamily",1985,"436 sqft",2,1,"130","$222,982","https://www.zillow.com/homedetails/1709-N-200-W-APT-6-Bountiful-UT-84010/12667307_zpid/"
NA,NA,NA,3,3,"2,172",NA,"https://www.zillow.com/homedetails/2155-S-Ridgewood-Way-E-Bountiful-UT-84010/2072633394_zpid/"
"SingleFamily",1996,"0.78 Acres",5,5,"9,276","$1,155,747","https://www.zillow.com/homedetails/3906-S-Glade-Hollow-Way-Bountiful-UT-84010/12660370_zpid/"
"SingleFamily",1994,"10,454 sqft",4,3,"5,062","$590,519","https://www.zillow.com/homedetails/1003-S-Terrace-Dr-Bountiful-UT-84010/2079747990_zpid/"
"SingleFamily",1996,"6.13 Acres",4,5,"6,741","$1,079,659","https://www.zillow.com/homedetails/2679-Wood-Hollow-Way-Bountiful-UT-84010/2086465730_zpid/"
"SingleFamily",1976,"0.27 Acres",4,3,"3,457","$445,434","https://www.zillow.com/homedetails/2281-S-900-E-Bountiful-UT-84010/12672756_zpid/"
"Townhouse",1973,"435 sqft",2,2,"1,146","$243,308","https://www.zillow.com/homedetails/549-N-200-W-Bountiful-UT-84010/12665582_zpid/"
"SingleFamily",1968,"10,454 sqft",4,2,"2,050","$419,832","https://www.zillow.com/homedetails/32-W-900-N-Bountiful-UT-84010/12665655_zpid/"
"SingleFamily",1912,"0.36 Acres",4,2,"1,840","$368,039","https://www.zillow.com/homedetails/1085-S-Orchard-Dr-Bountiful-UT-84010/2079960065_zpid/"
"Condo",1984,NA,2,1,"1,272","$240,450","https://www.zillow.com/homedetails/650-S-Main-St-APT-7301-Bountiful-UT-84010/12667253_zpid/"
"Condo",1972,NA,2,2,"1,256","$243,418","https://www.zillow.com/homedetails/330-N-100-E-APT-5-Bountiful-UT-84010/68447025_zpid/"
"Condo",1974,NA,1,1,"742","$162,801","https://www.zillow.com/homedetails/290-N-500-W-APT-212-Bountiful-UT-84010/68430012_zpid/"
"SingleFamily",1992,"0.49 Acres",5,3,"3,266","$629,424","https://www.zillow.com/homedetails/3627-S-Bountiful-Blvd-Bountiful-UT-84010/2123864818_zpid/"
"SingleFamily",1992,"0.49 Acres",4,3,"3,402",NA,"https://www.zillow.com/homedetails/3627-S-Bountiful-Blvd-E-Bountiful-UT-84010/2072723160_zpid/"
"SingleFamily",1960,"7,840 sqft",3,1,"2,036","$365,476","https://www.zillow.com/homedetails/139-S-600-E-Bountiful-UT-84010/12667829_zpid/"
"Townhouse",1959,"435 sqft",3,2,"1,536","$261,980","https://www.zillow.com/homedetails/393-E-400-N-Bountiful-UT-84010/12665933_zpid/"
NA,NA,NA,4,2,"2,200","$417,675","https://www.zillow.com/homedetails/1843-Jeri-Dr-Bountiful-UT-84010/12672022_zpid/"
"SingleFamily",1930,"9,583 sqft",3,2,"1,700","$363,535","https://www.zillow.com/homedetails/207-E-100-N-Bountiful-UT-84010/12664829_zpid/"
"Condo",1985,NA,4,2,"1,750","$297,120","https://www.zillow.com/homedetails/499-N-200-W-UNIT-14-Bountiful-UT-84010/12667302_zpid/"
"SingleFamily",1961,"7,405 sqft",5,1,"2,322","$449,387","https://www.zillow.com/homedetails/1161-S-400-W-Bountiful-UT-84010/12666369_zpid/"
"SingleFamily",1962,"0.25 Acres",4,2,"2,058","$441,590","https://www.zillow.com/homedetails/2851-S-150-E-Bountiful-UT-84010/12671860_zpid/"
"SingleFamily",2016,"0.25 Acres",3,2,"2,723","$500,211","https://www.zillow.com/homedetails/392-W-1500-S-Bountiful-UT-84010/145682078_zpid/"
"SingleFamily",1942,"9,583 sqft",4,2,"1,952","$431,878","https://www.zillow.com/homedetails/1060-S-100-E-Bountiful-UT-84010/12665206_zpid/"
"SingleFamily",1990,"9,147 sqft",5,4,"3,205","$417,701","https://www.zillow.com/homedetails/2514-S-Orchard-Pl-Bountiful-UT-84010/2080588062_zpid/"
"Unknown",2009,NA,3,4,"2,100","$312,378","https://www.zillow.com/homedetails/2086-Orchard-Dr-Bountiful-UT-84010/89200308_zpid/"
"MultiFamily",1971,NA,6,4,"4,000","$584,021","https://www.zillow.com/homedetails/640-N-400-E-Bountiful-UT-84010/12667712_zpid/"
"SingleFamily",1952,"0.50 Acres",3,2,"2,106","$449,851","https://www.zillow.com/homedetails/2993-S-100-W-Bountiful-UT-84010/12671702_zpid/"
"SingleFamily",1956,"9,016 sqft",4,2,"2,800","$415,960","https://www.zillow.com/homedetails/218-E-1300-N-Bountiful-UT-84010/12664315_zpid/"
"SingleFamily",1956,"7,840 sqft",3,2,"1,902","$380,268","https://www.zillow.com/homedetails/389-S-350-W-Bountiful-UT-84010/12666223_zpid/"
"Condo",1987,NA,2,2,"225","$241,997","https://www.zillow.com/homedetails/650-S-Main-St-APT-8303-Bountiful-UT-84010/92337621_zpid/"
"SingleFamily",1965,"9,147 sqft",4,2,"2,200","$425,783","https://www.zillow.com/homedetails/21-W-800-N-Bountiful-UT-84010/12665633_zpid/"
"SingleFamily",1951,"8,712 sqft",3,2,"1,550","$351,137","https://www.zillow.com/homedetails/419-W-325-S-Bountiful-UT-84010/12666206_zpid/"
NA,NA,NA,3,2,"2,101","$435,595","https://www.zillow.com/homedetails/212-E-1200-S-Bountiful-UT-84010/2080728215_zpid/"
"SingleFamily",1978,"1.65 Acres",5,5,"6,313","$751,755","https://www.zillow.com/homedetails/1848-E-Maple-Hills-Dr-Bountiful-UT-84010/2080421709_zpid/"
"SingleFamily",1956,"0.25 Acres",4,2,"2,492","$425,025","https://www.zillow.com/homedetails/20-S-800-E-Bountiful-UT-84010/12667834_zpid/"
"SingleFamily",1947,"0.19 Acres",3,2,"2,010","$370,749","https://www.zillow.com/homedetails/980-S-100-E-Bountiful-UT-84010/12665202_zpid/"
"SingleFamily",1967,"0.33 Acres",4,3,"2,784","$497,787","https://www.zillow.com/homedetails/3463-S-325-W-Bountiful-UT-84010/12657565_zpid/"
NA,NA,NA,3,2,"2,018",NA,"https://www.zillow.com/homedetails/1210-S-Westwood-Rd-E-Bountiful-UT-84010/2072723718_zpid/"
"SingleFamily",1981,"0.19 Acres",5,3,"3,247","$510,905","https://www.zillow.com/homedetails/274-S-Davis-Blvd-Bountiful-UT-84010/12668957_zpid/"
"SingleFamily",1961,"0.16 Acres",4,2,"2,128","$328,745","https://www.zillow.com/homedetails/379-N-350-W-Bountiful-UT-84010/12666039_zpid/"
"SingleFamily",1997,"9,147 sqft",5,3,"3,004","$618,230","https://www.zillow.com/homedetails/116-W-1500-N-Bountiful-UT-84010/68430068_zpid/"
"SingleFamily",1956,"10,519 sqft",5,3,"2,500","$488,254","https://www.zillow.com/homedetails/3512-S-100-E-Bountiful-UT-84010/12657810_zpid/"
"SingleFamily",1996,"8,712 sqft",4,3,"3,068","$516,379","https://www.zillow.com/homedetails/1537-N-175-W-Bountiful-UT-84010/68429966_zpid/"
"Townhouse",2004,"435 sqft",3,3,"1,840","$331,318","https://www.zillow.com/homedetails/44-W-200-N-APT-7-Bountiful-UT-84010/68450335_zpid/"
"SingleFamily",1948,"0.26 Acres",5,2,"2,342","$417,708","https://www.zillow.com/homedetails/3123-S-Crestview-Cir-Bountiful-UT-84010/2080532478_zpid/"
"SingleFamily",1960,"9,147 sqft",4,2,"1,600","$376,744","https://www.zillow.com/homedetails/250-W-1500-N-Bountiful-UT-84010/12664021_zpid/"
"SingleFamily",1956,"0.26 Acres",4,2,"1,912","$394,812","https://www.zillow.com/homedetails/1250-S-200-W-Bountiful-UT-84010/12665307_zpid/"
"SingleFamily",1960,"0.26 Acres",4,2,"1,818","$417,703","https://www.zillow.com/homedetails/360-E-2200-S-Bountiful-UT-84010/12671449_zpid/"
"Condo",1985,NA,1,1,"658","$199,874","https://www.zillow.com/homedetails/2095-S-Main-St-APT-24-Bountiful-UT-84010/83228882_zpid/"
"SingleFamily",1999,"0.06 Acres",3,3,"4,091","$821,473","https://www.zillow.com/homedetails/3804-Highland-Ct-Bountiful-UT-84010/68429334_zpid/"
"SingleFamily",1958,"0.26 Acres",5,1,"2,584","$327,398","https://www.zillow.com/homedetails/2743-S-Davis-Blvd-Bountiful-UT-84010/64627571_zpid/"
"SingleFamily",1991,"0.41 Acres",7,5,"5,680","$874,663","https://www.zillow.com/homedetails/4190-S-Bountiful-Blvd-Bountiful-UT-84010/2073102129_zpid/"
"SingleFamily",1956,"9,147 sqft",5,3,"2,200","$280,625","https://www.zillow.com/homedetails/102-S-425-W-Bountiful-UT-84010/12666147_zpid/"
"SingleFamily",2001,"436 sqft",1,1,"176","$516,895","https://www.zillow.com/homedetails/1611-N-Country-Springs-Ln-Bountiful-UT-84010/55198079_zpid/"
"SingleFamily",1970,"0.41 Acres",NA,NA,"5,760",NA,"https://www.zillow.com/homedetails/3142-SW-700th-Bountiful-UT-84010/94677454_zpid/"
"SingleFamily",1969,"7,840 sqft",NA,NA,"1,212",NA,"https://www.zillow.com/homedetails/3077-S-Highway-91-Bountiful-UT-84010/12658425_zpid/"
"SingleFamily",1961,"0.26 Acres",NA,NA,"2,557",NA,"https://www.zillow.com/homedetails/3077-S-Highway-91-Bountiful-UT-84010/12658426_zpid/"
"Condo",1977,NA,3,2,"2,172",NA,"https://www.zillow.com/homedetails/2314-S-Ridgewood-Way-Bountiful-UT-84010/2072621477_zpid/"
"SingleFamily",1959,"9,583 sqft",5,4,"2,488","$473,523","https://www.zillow.com/homedetails/99-N-800-E-Bountiful-UT-84010/12668569_zpid/"
"SingleFamily",1910,"0.20 Acres",2,1,"945","$335,122","https://www.zillow.com/homedetails/390-N-1000-E-Bountiful-UT-84010/12667776_zpid/"
"SingleFamily",1960,"0.22 Acres",4,2,"2,280","$415,504","https://www.zillow.com/homedetails/457-E-1200-N-Bountiful-UT-84010/12662326_zpid/"
"SingleFamily",1950,"0.25 Acres",2,2,"2,200","$407,688","https://www.zillow.com/homedetails/732-W-3500-S-Bountiful-UT-84010/12658617_zpid/"
"Condo",1989,NA,5,4,"3,114","$456,912","https://www.zillow.com/homedetails/3790-Cardiff-Way-Bountiful-UT-84010/12660000_zpid/"
"SingleFamily",1978,"0.27 Acres",5,3,"3,378","$533,885","https://www.zillow.com/homedetails/3678-S-400-E-Bountiful-UT-84010/12657922_zpid/"
"SingleFamily",1971,"0.27 Acres",4,4,"3,912","$622,866","https://www.zillow.com/homedetails/1349-E-1200-S-Bountiful-UT-84010/12669245_zpid/"
"MultiFamily",1951,NA,4,3,"2,000","$479,900","https://www.zillow.com/homedetails/1705-S-Main-St-Bountiful-UT-84010/2107036662_zpid/"
"Condo",1984,NA,2,2,"1,011","$243,749","https://www.zillow.com/homedetails/650-S-Main-St-APT-6110-Bountiful-UT-84010/12667279_zpid/"
"SingleFamily",1955,"7,405 sqft",3,2,"1,570","$362,651","https://www.zillow.com/homedetails/1310-N-250-W-Bountiful-UT-84010/12664147_zpid/"
"Townhouse",2018,"871 sqft",3,3,"2,145","$420,042","https://www.zillow.com/homedetails/258-E-Ellen-Ln-North-Salt-Lake-UT-84010/249102447_zpid/"
"SingleFamily",1964,"9,583 sqft",4,3,"138","$429,861","https://www.zillow.com/homedetails/1438-N-450-E-Bountiful-UT-84010/12662308_zpid/"
"SingleFamily",1956,"9,147 sqft",4,2,"2,132","$469,663","https://www.zillow.com/homedetails/479-E-1000-N-Bountiful-UT-84010/12668020_zpid/"
"Townhouse",1987,"435 sqft",3,2,"1,644","$314,197","https://www.zillow.com/homedetails/188-E-South-B-1-2050-Bountiful-UT-84010/12673723_zpid/"
"SingleFamily",1995,"0.50 Acres",5,3,"2,450",NA,"https://www.zillow.com/homedetails/2049-S-Bountiful-Blvd-Bountiful-UT-84010/2072634160_zpid/"
"SingleFamily",2014,"0.41 Acres",4,3,"8,398","$1,383,005","https://www.zillow.com/homedetails/275-S-1300-E-Bountiful-UT-84010/68443396_zpid/"
"SingleFamily",1955,"8,276 sqft",4,2,"2,100","$417,206","https://www.zillow.com/homedetails/651-E-1050-N-Bountiful-UT-84010/12667980_zpid/"
"SingleFamily",1960,"8,276 sqft",3,2,"2,226","$351,757","https://www.zillow.com/homedetails/975-S-400-W-Bountiful-UT-84010/12666338_zpid/"
"Condo",1984,NA,4,2,"1,960","$309,226","https://www.zillow.com/homedetails/3242-Plum-Tree-Ln-Bountiful-UT-84010/12659729_zpid/"
